description,ua
INFOMINE/iVia Scholary Internet Resource Collections robot,DataFountains/DMOZ Feature Vector Corpus Creator (http://ivia.ucr.edu/useragents.shtml)
DataparkSearch open source search engine,DataparkSearch/4.47 (+http://dataparksearch.org/bot)
DataparkSearch open source search engine,DataparkSearch/4.xx (http://www.dataparksearch.org/)
DataSpear Directory robot (24.109.29.xx),DataSpear/1.0 (Spider; http://www.dataspear.com/spider.html; spider@dataspear.com)
DataSpear Directory robot (24.109.29.xx),DataSpearSpiderBot/0.2 (DataSpear Spider Bot; http://dssb.dataspear.com/bot.html; dssb@dataspear.com)
Sicher-durchs-Netz German security related search (62.75.220.xxx),DatenBot( http://www.sicher-durchs-netz.de/bot.html)
Wholeweb robot,DaviesBot/1.7 (www.wholeweb.net)
Daypop blog - weblog - online mag search spider,daypopbot/0.x
dbDig search engine,dbDig(http://www.prairielandconsulting.com)
Some site scanning tool via diff. IPs i.e.: - wanweb.net (208.6.163.xxx) - cox.net (68.4.xxx.xxx),DBrowse 1.4b
Some site scanning tool via diff. IPs i.e.: - pacbell.net (67.112.xxx.xxx),DBrowse 1.4d
DC-Sakura download manager,DC-Sakura/x.xx
unknown divine/Openmarket.com robot,dCSbot/1.1
some (website) downloading tool,DDD
Unknown user agent,dds explorer v1.0 beta
Searchengine.com (Germany) submission checking / robot (84.73.57.xx),de.searchengine.comBot 1.2 (http://de.searchengine.com/spider)
DLC Perl HTTP link checking,DeadLinkCheck/0.4.0 libwww-perl/5.xx
Sootle Web Directory deep link checker,Deep Link Calculator v1.0
deepak-USC/ISI robot from USC/Information Science Institute,deepak-USC/ISI
Deepindex robot,DeepIndex
Zetbot search Belgium (213.41.128.xx) using Deepindex robot,DeepIndex ( http://www.zetbot.com )
Deepindex robot,DeepIndex (www.en.deepindex.com)
Deepindex robot (via Paragon.net Canada),DeepIndexer.ca
del.icio.us picture robot for thumbnail preview via Yahoo,del.icio.us-thumbnails/1.0 Mozilla/5.0 (compatible; Konqueror/3.4; FreeBSD) KHTML/3.4.2 (like Gecko)
DeleGate application level gateway / proxy server,DeleGate/9.0.5-fix1
Some site scanning tool from 217.34.59.xxx (btopenworld.com),Demo Bot DOT 16b
Some site scanning tool from 68.154.96.xx (bellsouth.net),Demo Bot Z 16b
Denmex Websearch robot/link checking,Denmex websearch (http://search.denmex.com)
DataBecker Bilder Sauger (discontinued) web graphics downloader,Der große BilderSauger 2.00u
Searchspider.com robot (72.245.225.xxx),dev-spider2.searchpsider.com/1.3b
DevComponents HTMLDocument Class Library for Visual Studio.net,DevComponents.com HtmlDocument Object
DiaGem Japan web crawler,DiaGem/1.1 (http://www.skyrocket.gr.jp/diagem.html)
Claria (ex Gator) SearchScout robot (64.152.73.xx),Diamond/x.0
Claria (ex Gator) SearchScout robot (64.152.73.xx),DiamondBot
Diggit! robot,Digger/1.0 JDK/1.3.0rc3
OpenPortal4U robot,DigOut4U
Findsame.com (site is offline) / Digital-Integrity robot,DIIbot/1.2
Dillo Web Browser,Dillo/0.8.5-i18n-misc
Dillo Web Browser,Dillo/0.x.x
disastrous - a del.icio.us link checker based on Python,disastrous/1.0.5 (running with Python 2.5.1; http://www.bortzmeyer.org/disastrous.html; archangel77@del.icio.us)
DISCo Pump offline browser / website ripper,DISCo Pump x.x
Unkown robot from Discovery Engine Corp.,disco/Nutch-0.9 (experimental crawler; www.discoveryengine.com; disco-crawl@discoveryengine.com)
Unkown robot from Discovery Engine Corp.,disco/Nutch-1.0-dev (experimental crawler; www.discoveryengine.com; disco-crawl@discoveryengine.com)
Ditto picture search robot,DittoSpyder
some download agent,dlman
Naver Japan / Korea robot,dloader(NaverRobot)/1.0
DNS Right - Online DNS tools,DNSRight.com WebBot Link Ckeck Tool. Report abuse to: dnsr@dnsright.com
NTT DoCoMo (Japan) robot,DoCoMo/1.0/Nxxxi/c10
NTT DoCoMo (Japan) robot,DoCoMo/1.0/Nxxxi/c10/TB
Google (216.239.39.x) proxy server,DoCoMo/1.0/P502i/c10 (Google CHTML Proxy/1.0)
NTT DoCoMo (Japan) robot,DoCoMo/2.0 P900iV(c100;TB;W24H11) 
NTT DoCoMo (Japan) proxy server (210.136.161.1xx),"DoCoMo/2.0 SH901iS(c100;TB;W24H12),gzip(gfe) (via translate.google.com)"
Yahoo Search Japan robot (203.216.197.xxx),DoCoMo/2.0 SH902i (compatible; Y!J-SRD/1.0; http://help.yahoo.co.jp/help/jp/search/indexing/indexing-27.html)
Yahoo Search Japan robot (203.216.197.xxx),DoCoMo/2.0/SO502i (compatible; Y!J-SRD/1.0; http://help.yahoo.co.jp/help/jp/search/indexing/indexing-27.html)
DocZilla - Mozilla-based SGML/XML/HTML- browser,DocZilla/1.0 (Windows; U; WinNT4.0; en-US; rv:1.0.0) Gecko/20020804
unknown robot from AGMLAB Information Technologies (Information retrieval system ?),dodgebot/experimental
Donut P - Japanese IE based browser,DonutP; Windows98SE
Unknown robot from douban search (China) - maybe image crawling,Doubanbot/1.0 (bot@douban.com http://www.douban.com)
Download Demon/Netzip download manager,Download Demon/3.x.x.x
Download Druid IE plugin download manager,Download Druid 2.x
Download Express download manager,Download Express 1.0
Download Master download manager,Download Master
Download Ninja download manager (Japan),Download Ninja 3.0
Download Wonder download manager,Download Wonder
Download-Tipp Germany link checking,Download-Tipp Linkcheck (http://download-tipp.de/)
download.exe .NET based downloading tool,Download.exe(1.1) (+http://www.sql-und-xml.de/freeware-tools/)
Download Direct download manager,DownloadDirect.1.0
Dr.WEB online virus scanner,Dr.Web (R) online scanner: http://online.drweb.com/
Dragonfly CMS - Open Source content management system,Dragonfly File Reader
Drecom Japan (210.233.67.xxx) - Blog search ??,Drecombot/1.0 (http://career.drecom.jp/bot.html)
Drupal - open source content management platform,Drupal (+http://drupal.org/)
Some site scanning tool via diff. IPs i.e.: - cox.net (68.5.xxx.xxx) - pacbell.net (64.16x.xxx.xxx),DSurf15a 01
Some site scanning tool via diff. IPs i.e.: - cox.net (68.4.xxx.xxx),DSurf15a 71
Some site scanning tool via diff. IPs i.e.: - verizon.net (4.47.xxx.xxx),DSurf15a 81
Some site scanning tool via diff. IPs i.e.: - eastlink.ca (24.222.xxx.xxx) - cogeco.net (216.221.8x.xxx),DSurf15a VA
DTAAgent Java object for data collecting,DTAAgent
dt Search Spider software,dtSearchSpider
Fourelle Venturi proxy server,Dual Proxy
Duck Duck Go search crawler,DuckDuckBot/1.0; (+http://duckduckgo.com/duckduckbot.html)
DumbFind.com robot,Dumbot(version 0.1 beta - dumbfind.com)
DumbFind.com robot,Dumbot(version 0.1 beta - http://www.dumbfind.com/dumbot.html)
DumbFind.com robot,Dumbot(version 0.1 beta)
Vigiltech e-Sense user research robot (website is offline),e-sense 1.0 ea(www.vigiltech.com/esensedisclaim.html)
e-Society Project (Japan) crawler (133.9.238.xx),e-SocietyRobot(http://www.yama.info.waseda.ac.jp/~yamana/es/)
Global Opto's eApollo Flash based search engine - Taiwan,eApolloBot/2.0 (compatible; heritrix/2.0.0-SNAPSHOT-20071024.170148 +http://www.eapollo-opto.com)
Earthcom (Czech Republic) search robot (194.108.39.xx),EARTHCOM.info/1.x [www.earthcom.info]
Earthcom (Czech Republic) search robot (194.108.39.xx),EARTHCOM.info/1.xbeta [www.earthcom.info]
Keywen Encyclopedia Bot,EasyDL/3.xx
Keywen Encyclopedia Bot,EasyDL/3.xx http://keywen.com/Encyclopedia/Bot
Some site scanning tool via diff. IPs i.e.: - swbell.net (65.66.xxx.xxx),EBrowse 1.4b
eCatch (now Wysigot) offline browser,eCatch/3.0
Echo.fr robot,EchO!/2.0
Some site scanning tool via diff. IPs i.e.: - cox.net (68.4.xxx.xxx),Educate Search VxB
Xdefine text search engine robot - based on Egothor open source crawler,egothor/3.0a (+http://www.xdefine.org/robot.html)
Egoto Search robot,EgotoBot/4.8 (+http://www.egoto.com/about.htm)
eJupiter searcg robot (206.191.49.xx),ejupiter.com
TimelyWeb web page monitoring tool,EldoS TimelyWeb/3.x
Elftales crawler for uChoose theme based search (Germany),elfbot/1.0 (+http://www.uchoose.de/crawler/elfbot/)
DAUMOA - RSS search robot of Daum,"ELI/20070402:2.0 (DAUM RSS Robot, Daum Communications Corp.; +http://ws.daum.net/aboutkr.html)"
ELinks text mode browser,ELinks (0.x.x; Linux 2.4.20 i586; 132x60)
ELinks text mode browser,ELinks/0.x.x (textmode; NetBSD 1.6.2 sparc; 132x43)
Sonic E-mail collector,EmailSiphon
EmailSpider E-mail harvesting  software,EmailSpider
Trellian EMailWolf E-mail collector,EmailWolf 1.00
EmeraldShield spam and web filtration services,EmeraldShield.com WebBot
EmeraldShield spam and web filtration services,EmeraldShield.com WebBot (http://www.emeraldshield.com/webbot.aspx)
Empas search Korea robot (220.95.22x.xxx),EMPAS_ROBOT
Enabot - Enaball semantic search project crawler,EnaBot/1.x (http://www.enaball.com/crawler.html)
endo - Mac news site and blog aggregator,endo/1.0 (Mac OS X; ppc i386; http://kula.jp/endo)
Enfish Personal search tool,Enfish Tracker
Enterprise Search engine software (64.202.165.xxx),Enterprise_Search/1.0
Enterprise Search engine software (64.202.165.xxx),Enterprise_Search/1.0.xxx
Enterprise Search engine software (64.202.165.xxx),Enterprise_Search/1.00.xxx;MSSQL (http://www.innerprise.net/es-spider.asp)
Envolk Web Search robot,envolk/1.7 (+http://www.envolk.com/envolkspiderinfo.php)
Envolk Web Search robot,envolk[ITS]spider/1.6(+http://www.envolk.com/envolkspider.html)
EroCrawler adult search robot,EroCrawler
Enterprise Search engine software (64.202.165.xxx),ES.NET_Crawler/2.0 (http://search.innerprise.net/)
ExactSEEK (Jayde Online) robot,eseek-larbin_2.6.2 (crawler@exactseek.com)
ESI Smart-Spider toolkit,ESISmartSpider
e-Style ISP search (Russia) robot (217.174.103.xxx),eStyleSearch 4 (compatible; MSIE 6.0; Windows NT 5.0)
Some site scanning tool via diff. IPs,ESurf15a 15
Eurip.com - European Internet Portal robot,EuripBot/0.x (+http://www.eurip.com) GetFile
Eurip.com - European Internet Portal robot,EuripBot/0.x (+http://www.eurip.com) GetRobots
Eurip.com - European Internet Portal robot,EuripBot/0.x (+http://www.eurip.com) PreCheck
Ayell Euronet business directory robot,Eurobot/1.0 (http://www.ayell.eu)
Evaal Search Engine robot,EvaalSE - bot@evaal.com
Eventax event search (Germany),eventax/1.3 (eventax; http://www.eventax.de/; info@eventax.de)
Vulcan Inc. Everest crawler (in development),Everest-Vulcan Inc./0.1 (R&D project; host=e-1-24; http://everest.vulcan.com/crawlerhelp)
Vulcan Inc. Everest crawler (in development),Everest-Vulcan Inc./0.1 (R&D project; http://everest.vulcan.com/crawlerhelp)
Exalead Websearch image crawler (193.47.80.xx),Exabot-Images/1.0
Exalead (France) search robot (193.47.80.xx),Exabot-Test/1.0
Exalead (France) search robot (193.47.80.xx),Exabot/2.0
Exalead (France) search robot (193.47.80.xx),Exabot/3.0
eXact Search Bar for IE,ExactSearch
ExactSEEK (Jayde Online) robot,ExactSeek Crawler/0.1
ExactSEEK (Jayde Online) robot,exactseek-crawler-2.63 (crawler@exactseek.com)
ExactSEEK (Jayde Online) robot,exactseek-pagereaper-2.63 (crawler@exactseek.com)
ExactSEEK (Jayde Online) robot (69.9.181.1xx),exactseek.com
Exalead (France) search robot (193.47.80.xx),Exalead NG/MimeLive Client (convert/http/0.120)
Excalibur (now Convera) spider software,Excalibur Internet Spider V6.5.4
Execrawl software search using nutch,Execrawl/1.0 (Execrawl; http://www.execrawl.com/; bot@execrawl.com)
exooba crawler for exooba search pre-alpha development,exooba crawler/exooba crawler (crawler for exooba.com; http://www.exooba.com/; info at exooba dot com)
exooba crawler for exooba search pre-alpha development,exooba/exooba crawler (exooba; exooba)
Mirago UK Robot,ExperimentalHenrytheMiragoRobot
Expired Domain Sleuth domain name tool,Expired Domain Sleuth
Express Web Pictures image browser,Express WebPictures (www.express-soft.com)
Extractor Pro e-mail collector,ExtractorPro
Exisoftware image grabber and downloading tool,Extreme Picture Finder
Download-Tipp Germany robot,EyeCatcher (Download-tipp.de)/1.0
Factbites search robot,Factbot 1.09 (see http://www.factbites.com/webmasters.php)
Factbites search robot,factbot : http://www.factbites.com/robots
FaEdit Professional - Japanese bookmark manager,FaEdit/2.0.x
FairAd user,FairAd Client
Safe-t.net web filtering service,FANGCrawl/0.01
Drew Curtis' FARK.com link checking,FARK.com link verifier
Fast/Alltheweb crawler (66.151.181.xx),Fast Crawler Gold Edition
Fast/Alltheweb crawler (66.151.181.xx),FAST Enterprise Crawler 6 (Experimental)
Fast Enterprise Crawler (66.151.181.xx) for Scirus scienctific information search,FAST Enterprise Crawler 6 / Scirus scirus-crawler@fast.no; http://www.scirus.com/srsapp/contactus/
Fast/Alltheweb crawler (66.151.181.xx),FAST Enterprise Crawler 6 used by Cobra Development (admin@fastsearch.com)
Comperio Web Miner based on Fast ESP,FAST Enterprise Crawler 6 used by Comperio AS (sts@comperio.no)
Fast/Alltheweb crawler (66.151.181.xx),FAST Enterprise Crawler 6 used by FAST (FAST)
Pages Jaunes business search (France) robot using Fast Enterprise Crawler,FAST Enterprise Crawler 6 used by Pages Jaunes (pvincent@pagesjaunes.fr)
Fast/Alltheweb crawler for Sensis.com.au Australian search (66.151.181.xx),FAST Enterprise Crawler 6 used by Sensis.com.au Web Crawler (search_comments\at\sensis\dot\com\dot\au)
SPH Search - Singapore related search using Fast crawler,FAST Enterprise Crawler 6 used by Singapore Press Holdings (crawler@sphsearch.sg)
FAST Enterprise Crawler  used by WWU (University of Muenster - Germany),FAST Enterprise Crawler 6 used by WWU (wardi@uni-muenster.de)
Fast/Alltheweb crawler (66.151.181.xx),FAST Enterprise Crawler/6 (www.fastsearch.com)
Fast/Alltheweb crawler (66.151.181.xx),FAST Enterprise Crawler/6.4 (helpdesk at fast.no)
Fast/Alltheweb crawler (66.151.181.xx),FAST FirstPage retriever (compatible; MSIE 5.5; Mozilla/4.0)
Fast/Alltheweb crawler (66.151.181.xx),FAST MetaWeb Crawler (helpdesk at fastsearch dot com)
Fast/Alltheweb crawler (66.151.181.xx),Fast PartnerSite Crawler
Fast/Alltheweb multimedia crawler,FAST-WebCrawler/2.2.10 (Multimedia Search) (crawler@fast.no; http://www.fast.no/faq/faqfastwebsearch/faqfastwebcrawler.html)
Fast/Alltheweb crawler,FAST-WebCrawler/2.2.6 (crawler@fast.no; http://www.fast.no/faq/faqfastwebsearch/faqfastwebcrawler.html)
Fast/Alltheweb crawler,FAST-WebCrawler/2.2.7 (crawler@fast.no; http://www.fast.no/faq/faqfastwebsearch/faqfastwebcrawler.html)http://www.fast.no
Fast/Alltheweb crawler,FAST-WebCrawler/2.2.8 (crawler@fast.no; http://www.fast.no/faq/faqfastwebsearch/faqfastwebcrawler.html)http://www.fast.no
Fast/Alltheweb crawler,FAST-WebCrawler/3.2 test
Fast/Alltheweb crawler,FAST-WebCrawler/3.3 (crawler@fast.no; http://fast.no/support.php?c=faqs/crawler)
Fast/Alltheweb crawler,FAST-WebCrawler/3.4/Nirvana (crawler@fast.no; http://fast.no/support.php?c=faqs/crawler)
Fast/Alltheweb crawler,FAST-WebCrawler/3.4/PartnerSite (crawler@fast.no; http://fast.no/support.php?c=faqs/crawler)
Fast/Alltheweb crawler,FAST-WebCrawler/3.5 (atw-crawler at fast dot no; http://fast.no/support.php?c=faqs/crawler)
Fast/Alltheweb crawler,FAST-WebCrawler/3.6 (atw-crawler at fast dot no; http://fast.no/support/crawler.asp)
Fast/Alltheweb crawler,FAST-WebCrawler/3.6/FirstPage (crawler@fast.no; http://fast.no/support.php?c=faqs/crawler)
Fast/Alltheweb crawler,FAST-WebCrawler/3.7 (atw-crawler at fast dot no; http://fast.no/support/crawler.asp)
Fast/Alltheweb crawler,FAST-WebCrawler/3.7/FirstPage (atw-crawler at fast dot no;http://fast.no/support/crawler.asp)
Fast/Alltheweb crawler,FAST-WebCrawler/3.8 (atw-crawler at fast dot no; http://fast.no/support/crawler.asp)
Fast/Alltheweb crawler,FAST-WebCrawler/3.8/Fresh (atw-crawler at fast dot no; http://fast.no/support/crawler.asp)
Fast/Alltheweb multimedia crawler,FAST-WebCrawler/3.x Multimedia
Fast/Alltheweb multimedia crawler,FAST-WebCrawler/3.x Multimedia (mm dash crawler at fast dot no)
Fastbot search Germany crawler (80.252.104.1xx),fastbot crawler beta 2.0 (+http://www.fastbot.de)
Ay-Up geo sync search robot,FastBug http://www.ay-up.com
Fast/Alltheweb crawler (66.151.181.xx),FastCrawler 3.0.1 (crawler@1klik.dk)
Fast/Alltheweb crawler used by SuperPages.com,FastSearch Web Crawler for Verizon SuperPages (kevin.watters@fastsearch.com)
Favcollector Favicon collecting robot,Favcollector/2.0 (info@favcollector.com http://www.favcollector.com/)
FavIconizer - IE favorites icons refreshing tool,FavIconizer
favo.eu (Germany) search robot,favo.eu crawler/0.6 (http://www.favo.eu)
ZD's FavOrg favourites managing program,FavOrg
Campulka.net Favorites checking tool,Favorites Checking (http://campulka.net)
Favorites Sweeper bookmark checker,Favorites Sweeper v.2.03
FaXo Search robot (69.152.89.xx),Faxobot/1.0
Free Download Manager (FDM) download accelerator ,FDM 1.x
Free Download Manager (FDM) download accelerator ,FDM 2.x
RSS Feed Seeker bot (68.225.95.2xx),Feed Seeker Bot (RSS Feed Seeker http://www.MyNewFavoriteThing.com/fsb.php)
Feed24 news feed and blog search,Feed24.com
Feed::Find - Syndication feed (RSS/Atom) auto-discovery,Feed::Find/0.0x
Feedable beta web based RSS service,Feedable/0.1 (compatible; MSIE 6.0; Windows NT 5.1)
Unknown robot from the University of Tokyo (157.82.157.xx),FeedChecker/0.01
FeedDemon RSS reader,FeedDemon/2.7 (http://www.newsgator.com/; Microsoft Windows XP)
Google news feed feetcher for iGoogle gadgets,Feedfetcher-Google-iGoogleGadgets; (+http://www.google.com/feedfetcher.html)
Google Feedfetcher - RSS and Atom feed crawler,Feedfetcher-Google; (+http://www.google.com/feedfetcher.html)
FeedForAll RSS feed robot,FeedForAll rss2html.php v2
FeedHub news feed personalization engine powered by mSpoke,FeedHub FeedDiscovery/1.0 (http://www.feedhub.com)
FeedHub news feed personalization engine powered by mSpoke,FeedHub MetaDataFetcher/1.0 (http://www.feedhub.com)
Feedjit news feed service favicon crawler,Feedjit Favicon Crawler 1.0
Newsbrain Feedreader3,Feedreader 3.xx (Powered by Newsbrain)
FeedShow online RSS feed reader,Feedshow/x.0 (http://www.feedshow.com; 1 subscriber)
FeedShow online RSS feed reader,FeedshowOnline (http://www.feedshow.com)
"FeedZcollector - Feed (RSS, ATOM and RDF) capturing software",FeedZcollector v1.x (Platinum) http://www.feeds4all.com/feedzcollector
MixCat robot,Felix - Mixcat Crawler (+http://mixcat.com)
FreeBSD download tool,fetch libfetch/2.0
Frequent Finders spider via Sitefusion.com,FFC Trap Door Spider
Filangy search and bookmark service,Filangy/0.01-beta (Filangy; http://www.nutch.org/docs/en/bot.html; filangy-agent@filangy.com)
